15M          Fifteen minutes
15S          Fifteen seconds
1CF          Single party coin first pay phone
1FAC         Interface packs
1FB          One party flat business rate
1OF          One party official (telco) business line
2SPDT        Partial dial timeout in the second stage of a traditional 2-stage international
2SPST        Permanent signal timeout in the second stage of a traditional 2-stage international
2SVCA        Vacant code in the second stage of a traditional 2-stage international outbound
2WAY         Two-way trunk groups
2W           Two wire (pair) (circuit)
300          Log command menu (SARTS command)
376          Log clear (SARTS command)
384          Write log (SARTS command)
385          Read log (SARTS command)
399          Log print (SARTS command)
3KHZ         Three kilohertz
3RNGR        Three ringer
3WO          Third wire open
4W           Four wire (pair) (circuit)
600B         600-ohm bridged connection
600          Test menu (SARTS command)
611          Detail tests (SARTS command)
621          Macro command menu (SARTS command)
631          Automatic test command (SARTS command)
735T         735-ohm compromise termination
AA           Automatic answer
AABS         Automatic alternate billing service
?A           Action field contains an error
AAE          Auxiliary access equipment
AA           Packet analog access line INTER/TRA blocal 1-26
AAR          Automatic alternate routing
A            Area
A            A side (lead) (pair)
AAX          Automated attendant exchange
ABATS        Automatic bit access test system
ABATS        Automatic bit access test system (DDS service)
ABC          Automatic bill calling (TSPS)
ABF          Abandon failure
ABF          Abandon failure (MDII)
ABHC         Average busy hour calls
ABL          Auxiliary Buffer oder word Left half
ABM          Asynchronous balanced mode ( -> SABME)
ABME         ABM extended
AB           Packet switch trunk INTER/TRA blocal 1-26
ABR          Auxiliary Buffer order word Right half
ABS          Alternate billing service
ABS          Alternative billing service
ABSBH        Average busy season busy hour
ABT          Abort
A/B          Two wire phone connection (T&R)
ABV          Above
ACA          Asynchronous communication adapter
AC           Administrative computer
AC           Alternating current
AC           Assembly code
ACB          Annoyance call bureau
ACB          Automatic call-back
ACC          Audio communications controller
ACCS         Automated calling card service
ACDA         Automatic call disposition analyzer
ACD          Automatic call distribution
ACD          Automatic call distributor
ACDN         Access directory number
ACDN         Access Directory Number
ACE          Assignment change establish
ACE          Automatic calling equipment
ACES         Aris cabs entry system
ACFA         Advanced CMOS frame aligner peb2030
ACF          Advanced communications functions
